time_s,delta_w_mps,delta_q_rads,w_gust_mps,delta_w_aero_mps,delta_e_rad,delta_w_dot,delta_q_dot,perturbation_az_mps2,delta_alpha_rad,delta_CL,delta_Cm,delta_Lift_N,delta_PitchMom_Nm,total_thrust_N,propulsion_model_status
0.34,-0.27760964692443457,-0.05228574085481199,0.0,-0.27760964692443457,0.0,-1.5265947012599823,0.12711741861757353,0.690199408065263,-0.006547755606543438,-0.028350756851755077,0.018887537624205003,-16.509160496531287,3.0674093108984635,nan,MODEL_NOT_IDENTIFIED
0.36,-0.3063273353314645,-0.04936399197297366,0.0,-0.3063273353314645,0.0,-1.3413995899867657,0.16480241988414285,0.7515191452059401,-0.0072250966404639235,-0.030869537565812847,0.019571162487497927,-17.97589224134441,3.1784326381605137,nan,MODEL_NOT_IDENTIFIED
0.38,-0.3311222450725049,-0.04570567098280358,0.0,-0.3311222450725049,0.0,-1.1347257039368948,0.20068454140861788,0.8030887085772969,-0.007809914247017876,-0.03298781836264927,0.019988239701424874,-19.209405612241518,3.2461675941308243,nan,MODEL_NOT_IDENTIFIED
0.4,-0.3515904448307401,-0.04135218136243358,0.0,-0.3515904448307401,0.0,-0.9091905811418498,0.23423281609601854,0.8440459715645731,-0.008292681222905123,-0.034670186372092494,0.020129200540659097,-20.189079051908745,3.2690601807316844,nan,MODEL_NOT_IDENTIFIED
0.42,-0.3673834338281435,-0.036355302937658096,0.0,-0.3673834338281435,0.0,-0.6677139569695024,0.26494184576711194,0.8736665432843854,-0.008665177760390273,-0.03588688638201046,0.019988237873780124,-20.897585560038294,3.2461672973142335,nan,MODEL_NOT_IDENTIFIED
0.44,-0.3782138232901471,-0.030776605178738484,0.0,-0.3782138232901471,0.0,-0.41348076835242653,0.2923392822342498,0.8913758895020706,-0.008920625451443264,-0.03661431871932372,0.01956344008880315,-21.321182618482542,3.1771784906834775,nan,MODEL_NOT_IDENTIFIED
0.46,-0.38386023466021857,-0.02468671432291666,0.0,-0.38386023466021857,0.0,-0.14989990627215832,0.31599294576542775,0.8967595078422789,-0.009053802817989535,-0.03683545720881291,0.018856871934358976,-21.449955576256738,3.0624290840192177,nan,MODEL_NOT_IDENTIFIED
0.48,-0.3841713346531168,-0.018164442636214348,0.0,-0.3841713346531168,0.0,0.1194407606148431,0.33551747553237615,0.8895709868834154,-0.009061140483467888,-0.03654018020995288,0.01787460040219773,-21.27801041829837,2.9029043802949692,nan,MODEL_NOT_IDENTIFIED
0.5,-0.3790689383030557,-0.011295790187276089,0.0,-0.3790689383030557,0.0,0.39082250850481925,0.3505804117807739,0.869737806212091,-0.008940794361933381,-0.03572550886100776,0.01662666452582224,-20.803612499329656,2.7002347574589676,nan,MODEL_NOT_IDENTIFIED
0.52,-0.3685501233544222,-0.00417283144739611,0.0,-0.3685501233544222,0.0,0.660446391994439,0.36090761608802785,0.8373647643950761,-0.008692695528491706,-0.03439574788703269,0.015126988745419378,-20.029268538913684,2.45668159856326,nan,MODEL_NOT_IDENTIFIED
0.54,-0.352688312501684,0.0031074991745568825,0.0,-0.352688312501684,0.0,0.924485709318225,0.3662879441135821,0.7927349537150982,-0.008318575745222002,-0.03256252563829921,0.013393240280278614,-18.961749936556533,2.1751141284917055,nan,MODEL_NOT_IDENTIFIED
0.56,-0.3316332939394935,0.010444707133175402,0.0,-0.3316332939394935,0.0,1.1791395847173018,0.3665770946045384,0.7363082339912138,-0.007821967945875658,-0.03024473140066244,0.011446631745627272,-17.61205626639577,1.8589773581690432,nan,MODEL_NOT_IDENTIFIED
0.58,-0.30561016524796036,0.017736105733347864,0.0,-0.30561016524796036,0.0,1.4206869277429597,0.3617005689817765,0.6687171924143117,-0.007208181326147099,-0.027468349441026756,0.009311671040115049,-15.995318638861775,1.512251465319038,nan,MODEL_NOT_IDENTIFIED
0.6,-0.2749172006146592,0.024878233953916546,0.0,-0.2749172006146592,0.0,1.6455400137444292,0.3516556874664407,0.5907606116011405,-0.00648425103955356,-0.02426619069994098,0.00701586130182591,-14.130643460404132,1.13940306615796,nan,MODEL_NOT_IDENTIFIED
0.62,-0.2399226565786709,0.03176830480255455,0.0,-0.2399226565786709,0.0,1.8502969246790468,0.3365126202643795,0.5033945035178761,-0.005658862857087248,-0.020677524499406397,0.004589354473557102,-12.040897970260898,0.7453289530532492,nan,MODEL_NOT_IDENTIFIED
0.64,-0.2010605466615565,0.038305664198655276,0.0,-0.2010605466615565,0.0,2.0317920949311823,0.316414405642547,0.40772080204913935,-0.004742253506832367,-0.016747614076778102,0.002064562721308543,-9.752439773415787,0.3352929873802039,nan,MODEL_NOT_IDENTIFIED
0.66,-0.15882543021149892,0.044393239955873166,0.0,-0.15882543021149892,0.0,2.187144223103061,0.2915759406292023,0.3049738412907363,-0.0037460877626204763,-0.012527161164649749,-0.0005242673969947931,-7.294793409379953,-0.08514305712786199,nan,MODEL_NOT_IDENTIFIED
0.68,-0.11376627531591835,0.04993896029301084,0.0,-0.11376627531591835,0.0,2.313800837664877,0.26228194436101987,0.1965047796290972,-0.0026833136934831894,-0.008071666191497904,-0.0031415125224723076,-4.700277785409986,-0.5101938089264972,nan,MODEL_NOT_IDENTIFIED
0.7000000000000001,-0.06647946952378583,0.05485712144713541,0.0,-0.06647946952378583,0.0,2.409578841690825,0.22888390858885613,0.08376416085404083,-0.0015679978131771792,-0.003440711958767228,-0.005750655832042611,-2.003589048667893,-0.9339287944223236,nan,MODEL_NOT_IDENTIFIED
0.72,-0.017601065156907833,0.05906968439806285,0.0,-0.017601065156907833,0.0,2.4727004092794567,0.191796064338296,-0.031717167530605085,-0.000415142176574469,0.001302820162085013,-0.00831478966079194,0.7586558364718538,-1.3503540657936346,nan,MODEL_NOT_IDENTIFIED
0.74,0.03220164201596431,0.06250748143654847,0.0,0.03220164201596431,0.0,2.501823663131749,0.15149040799691393,-0.1483485324209733,0.0007595142473825055,0.006093591392335755,-0.010797130588451064,3.5484089127632865,-1.7534958530305202,nan,MODEL_NOT_IDENTIFIED
0.76,0.08223909120082247,0.0651113143134469,0.0,0.08223909120082247,0.0,2.496067628467814,0.10849084396320925,-0.2645010401731275,0.0019397073424966289,0.010864692999382544,-0.01316153989834529,6.326708010309871,-2.137485088485443,nan,MODEL_NOT_IDENTIFIED
0.78,0.13180887318286383,0.06683292698348228,0.0,0.13180887318286383,0.0,2.4550310321988387,0.06336651424120496,-0.3785300195102084,0.0031088699471967293,0.015548568165693468,-0.015373042143325358,9.054213567592983,-2.496641623990173,nan,MODEL_NOT_IDENTIFIED
0.8,0.18020545837640745,0.06763583749085214,0.0,0.18020545837640745,0.0,2.3788045971058045,0.01672439780439407,-0.48879799736334734,0.004250361302231807,0.020077955748641747,-0.01739833447938783,11.69175819996,-2.8255569486097216,nan,MODEL_NOT_IDENTIFIED
0.8200000000000001,0.22673010343774597,0.0674960153166074,0.0,0.22673010343774597,0.0,2.267976567668955,-0.03079872600355045,-0.5936978909996644,0.005347700709985687,0.02438684292458813,-0.019206279456376103,14.200901441571222,-3.1191742197620465,nan,MODEL_NOT_IDENTIFIED
0.84,0.2707007992021961,0.06640239249791428,0.0,0.2707007992021961,0.0,2.1236312960003367,-0.07854484549127336,-0.6916760923606341,0.0063848021684723335,0.028411413405376628,-0.020768374087330888,16.544481909082666,-3.3728644418985008,nan,MODEL_NOT_IDENTIFIED
0.86,0.3114621202255582,0.06435719901185187,0.0,0.3114621202255582,0.0,1.9473408118292088,-0.12584370258499847,-0.7812551175716028,0.007346206684553451,0.03209097779372115,-0.022059188253299233,18.687159064480728,-3.5824976651439044,nan,MODEL_NOT_IDENTIFIED
0.88,0.34839483566523066,0.06137611526321416,0.0,0.34839483566523066,0.0,1.741149398381011,-0.1720220757923897,-0.8610554961918592,0.008217308958066353,0.03536887271003635,-0.023056765836821938,20.595936792961776,-3.7445081309295385,nan,MODEL_NOT_IDENTIFIED
0.9,0.3809251426618138,0.057488236996043524,0.0,0.3809251426618138,0.0,1.5075512949274852,-0.21641323335951804,-0.9298165809949295,0.008984575162174293,0.03819331557877092,-0.023742982411555792,22.2406611605349,-3.8559523621740586,nan,MODEL_NOT_IDENTIFIED
0.92,0.4085333867853343,0.05273585052919061,0.0,0.4085333867853343,0.0,1.2494617453876913,-0.25836642566131635,-0.986415969876763,0.0096357486255223,0.04051820240625291,-0.024103853842778557,23.594484974546962,-3.9145592812015226,nan,MODEL_NOT_IDENTIFIED
0.9400000000000001,0.43076213947058334,0.0471740188620699,0.0,0.43076213947058334,0.0,0.9701817092317824,-0.2972562835011871,-1.0298872467962212,0.010160040348212057,0.042303836510799026,-0.02412979076772215,24.634292136457237,-3.918771538333765,nan,MODEL_NOT_IDENTIFIED
0.96,0.44722350963496693,0.04086998187154902,0.0,0.44722350963496693,0.0,0.6733566446915773,-0.33249198847821665,-1.0594357683041593,0.010548301455055252,0.04351757697306437,-0.023815794618323283,25.341075246250377,-3.8677773467448073,nan,MODEL_NOT_IDENTIFIED
0.98,0.4576055757736005,0.03390237648725281,0.0,0.4576055757736005,0.0,0.3629298635487388,-0.3635260829435937,-1.07445224599733,0.01079317490423062,0.044134396551397934,-0.02316159161338757,25.70026048667831,-3.761532243307613,nan,MODEL_NOT_IDENTIFIED
1.0,0.46167783565714066,0.026360285352760877,0.0,0.46167783565714066,0.0,0.04309104023191623,-0.3898627903181113,-1.0745239028631266,0.01088922402492638,0.044137339941895254,-0.022171701972531804,25.701974476409813,-3.600770329206557,nan,MODEL_NOT_IDENTIFIED
1.02,0.45929558318920927,0.018342125016640246,0.0,0.45929558318920927,0.0,-0.28177946564884604,-0.4110657216603216,-1.059443012624354,0.010833035750758278,0.04351787454208282,-0.020855442479802578,25.34124852609296,-3.3870046862790257,nan,MODEL_NOT_IDENTIFIED
1.04,0.45040313585905944,0.009954387113054016,0.0,0.45040313585905944,0.0,-0.6071697460438576,-0.4267648513136602,-1.0292126654592457,0.010623296743101496,0.042276127284685744,-0.019226861438915124,24.61815655095838,-3.1225168134941184,nan,MODEL_NOT_IDENTIFIED
1.06,0.4350358513756497,0.0013102482510844431,0.0,0.4350358513756497,0.0,-0.928498154350687,-0.43666265314800623,-0.984049640420725,0.010260840955817623,0.04042100262564554,-0.017304606002255425,23.537883777384376,-2.8103350806684064,nan,MODEL_NOT_IDENTIFIED
1.08,0.4133208882954633,-0.007471933599121749,0.0,0.4133208882954633,0.0,-1.241176953743317,-0.4405392992483625,-0.9243843040265048,0.009748667575571666,0.03797017837858858,-0.015111722809245094,22.11072431723229,-2.454202351363743,nan,MODEL_NOT_IDENTIFIED
1.1,0.38547668254428036,-0.01627021658854872,0.0,0.38547668254428036,0.0,-1.540676931768346,-0.4382568347676645,-0.8508574953163658,0.009091928674971847,0.034949977764870355,-0.012675393823118098,20.352006660264,-2.0585330817560106,nan,MODEL_NOT_IDENTIFIED
1.12,0.3518111294536206,-0.024960745109638798,0.0,0.3518111294536206,0.0,-1.8225920833423357,-0.4297622559059808,-0.764314399622305,0.008297886333724407,0.03139511777144004,-0.01002661019515607,18.281947138357225,-1.6283603549229584,nan,MODEL_NOT_IDENTIFIED
1.1400000000000001,0.312718479044565,-0.033419470006504505,0.0,0.312718479044565,0.0,-2.0827034509005395,-0.4150894324368333,-0.6657954557951636,0.0073758394101886005,0.027348335654421914,-0.007199787898531641,15.925432431759225,-1.1692734582907074,nan,MODEL_NOT_IDENTIFIED
1.16,0.26867497054513095,-0.04152389530849671,0.0,0.26867497054513095,0.0,-2.3170412097292377,-0.39435983168595273,-0.5565243840860927,0.006337020576246883,0.0228598971701895,-0.00423232974686795,13.311733203111885,-0.6873467537503701,nan,MODEL_NOT_IDENTIFIED
1.18,0.2202332502668477,-0.049154827220582495,0.0,0.2202332502668477,0.0,-2.521944098647028,-0.36778201717428477,-0.4378934636934815,0.005194464656246467,0.017986991833196193,-0.00116413923257114,10.47415194510585,-0.18906072311907357,nan,MODEL_NOT_IDENTIFIED
1.2,0.1680156347342746,-0.05619810073650627,0.0,0.1680156347342746,0.0,-2.694115321191348,-0.3356499120469068,-0.3114462295571903,0.0039628497298501856,0.012793022166337306,0.0019629076253654554,7.449609098060828,0.3187838058235515,nan,MODEL_NOT_IDENTIFIED
1.22,0.11270629810220222,-0.06254625921554766,0.0,0.11270629810220222,0.0,-2.830674080140644,-0.2983398346925562,-0.17885779672280347,0.0026583128629255708,0.007346795500945091,0.005105525556597257,4.27817242038771,0.8291571374167236,nan,MODEL_NOT_IDENTIFIED
1.24,0.055042479158779044,-0.068100162585939,0.0,0.055042479158779044,0.0,-2.9292019582040663,-0.256306331376151,-0.04191305693745239,0.001298242714195188,0.0017216283761795404,0.008219610979900965,1.0025354640918889,1.3348966791415036,nan,MODEL_NOT_IDENTIFIED
1.26,-0.004195181642686195,-0.0727705005079258,0.0,-0.004195181642686195,0.0,-2.9877834195047646,-0.21007684801522028,0.09751697447011085,-9.894837742740158e-05,-0.004005625040842546,0.011260852657773589,-2.3325481938271597,1.8288061142943353,nan,MODEL_NOT_IDENTIFIED
1.28,-0.06419305088403784,-0.07647918784240462,0.0,-0.06419305088403784,0.0,-3.0050397793613843,-0.1602453001849589,0.2375003534407775,-0.0015140698944856852,-0.009755607863356344,0.01418535372604904,-5.680867597275527,2.3037564220075253,nan,MODEL_NOT_IDENTIFIED
1.3,-0.12411552014029206,-0.07916062111751676,0.0,-0.12411552014029206,0.0,-2.980156072960824,-0.10746461679167117,0.37607060978089407,-0.002927413012700036,-0.015447545002793224,0.0169502564836605,-8.995385945497803,2.7527873455280925,nan,MODEL_NOT_IDENTIFIED
1.32,-0.18311648624115304,-0.08076277635113481,0.0,-0.18311648624115304,0.0,-2.912900345783123,-0.052438348371752964,0.5112540018638586,-0.004319021376668559,-0.021000362687877656,0.01951436116959135,-12.228892509374992,3.169207883992736,nan,MODEL_NOT_IDENTIFIED
1.34,-0.2403511383294954,-0.08124813055277998,0.0,-0.2403511383294954,0.0,-2.803634988912295,0.004088554577353301,0.6410972508626934,-0.005668969111741383,-0.0263338276810261,0.02183872991750651,-15.334666017819016,3.5466943770006605,nan,MODEL_NOT_IDENTIFIED
1.36,-0.2949878897327027,-0.08059439147057948,0.0,-0.2949878897327027,0.0,-2.6533198493416137,0.061339674665146816,0.7636953700227446,-0.006957642251479389,-0.031369690398631404,0.023887267165736265,-18.26714031747065,3.8793847654443874,nan,MODEL_NOT_IDENTIFIED
1.3800000000000001,-0.3462202883799671,-0.07879502263962235,0.0,-0.3462202883799671,0.0,-2.4635069576423683,0.11851764183332814,0.8772191978250957,-0.008166019659093778,-0.03603281586830819,0.02562726801167768,-20.98256294963897,4.161967646389757,nan,MODEL_NOT_IDENTIFIED
1.4000000000000001,-0.39327873750142006,-0.07585955349581032,0.0,-0.39327873750142006,0.0,-2.236326831401415,0.17481508849936225,0.9799422426568327,-0.009275949474155663,-0.040252286405467984,0.027029926334022004,-23.439637258893036,4.389764794094938,nan,MODEL_NOT_IDENTIFIED
1.42,-0.4354418586930577,-0.07181366720884534,0.0,-0.4354418586930577,0.0,-1.9744664310607314,0.2294258972215224,1.0702664508863868,-0.01027041712407513,-0.043962460067484874,0.028070794960494975,-25.60013875014152,4.558805893034888,nan,MODEL_NOT_IDENTIFIED
1.44,-0.47204733215237915,-0.06669906192111007,0.0,-0.47204733215237915,0.0,-1.6811389635746823,0.28155658631067415,1.1467465200567275,-0.011133801004026143,-0.047103969346856366,0.028730190728263473,-27.429496645794163,4.66589432128125,nan,MODEL_NOT_IDENTIFIED
1.46,-0.5025020539779222,-0.060573084215094324,0.0,-0.5025020539779222,0.0,-1.3600458469703183,0.33043767473059454,1.208112394194302,-0.011852112049006507,-0.049624645192619,0.028993537962378864,-28.897331960210078,4.708662932732734,nan,MODEL_NOT_IDENTIFIED
1.48,-0.5262914578424399,-0.05350813682789627,0.0,-0.5262914578424399,0.0,-1.0153312637779448,0.37533486572615077,1.2532895988474164,-0.012413213596650569,-0.05148035229609614,0.02885164467653405,-29.977943901755502,4.685618913188515,nan,MODEL_NOT_IDENTIFIED
1.5,-0.5429878580219327,-0.045590865842941364,0.0,-0.5429878580219327,0.0,-0.6515298417347188,0.4155598889542034,1.2814170991972393,-0.01280701816754909,-0.05263572263392479,0.028300906670416005,-30.650737028227677,4.5961769265492824,nan,MODEL_NOT_IDENTIFIED
1.52,-0.5522576825859274,-0.03692113577134111,0.0,-0.5522576825859274,0.0,-0.2735081045342258,0.45048084349186124,1.2918623951356478,-0.0130256580686945,-0.0530647755162281,0.02734343564802929,-30.900582312164296,4.440679921729518,nan,MODEL_NOT_IDENTIFIED
1.54,-0.553867479391287,-0.027610804042972746,0.0,-0.553867479391287,0.0,0.11359956785592207,0.47953188895536014,1.2842336022125869,-0.013063627052029427,-0.052751413825814074,0.025987108499257422,-30.718106109939406,4.220407136174058,nan,MODEL_NOT_IDENTIFIED
1.56,-0.5476885932051624,-0.01778230941554254,0.0,-0.5476885932051624,0.0,0.5044596421282447,0.502222139043085,1.2583883063894044,-0.012917890629986413,-0.05168978773763949,0.024245535959201245,-30.09990196221155,3.9375690060131783,nan,MODEL_NOT_IDENTIFIED
1.58,-0.5337004296168287,-0.007567091634805538,0.0,-0.5337004296168287,0.0,0.8936118934358132,0.5181436210489948,1.2144390230989752,-0.01258796305875295,-0.04988451895616,0.022137949972116832,-29.048661171404326,3.595288873529579,nan,MODEL_NOT_IDENTIFIED
1.6,-0.5119922401614527,0.0028961377013433896,0.0,-0.5119922401614527,0.0,1.275544656154391,0.5269781761774988,1.1527551366568984,-0.01207594944255093,-0.04735078037893822,0.019689010223937414,-27.573219191271875,3.197571567290139,nan,MODEL_NOT_IDENTIFIED
1.62,-0.48276338302648014,0.013463250747801369,0.0,-0.48276338302648014,0.0,1.6447718409545966,0.5285031886969119,1.0739612439895534,-0.011386551882708679,-0.0441142280633153,0.01692853145371158,-25.68851600985642,2.749259116466647,nan,MODEL_NOT_IDENTIFIED
1.6400000000000001,-0.44632203457838093,0.023986661066742396,0.0,-0.44632203457838093,0.0,1.9959106564776619,0.5225960469363387,0.9789318763014592,-0.010527039087477921,-0.04021078441265595,0.013891134293784097,-23.415469894901932,2.255974045927958,nan,MODEL_NOT_IDENTIFIED
1.6600000000000001,-0.40308234845237667,0.034317357135256944,0.0,-0.40308234845237667,0.0,2.3237589492861823,0.5092372556734462,0.8687826230198417,-0.009507179365766633,-0.03568627358187553,0.010615823505021552,-20.78076508387238,1.7240508800060423,nan,MODEL_NOT_IDENTIFIED
1.68,-0.35356008079605794,0.044306984077677664,0.0,-0.35356008079605794,0.0,2.6233710661185374,0.48851213736662746,0.7448577334280645,-0.008339137443276565,-0.03059591219987206,0.007145498550779418,-17.81655522237665,1.1604566578114135,nan,MODEL_NOT_IDENTIFIED
1.7,-0.2983667221461035,0.05380994493187571,0.0,-0.2983667221461035,0.0,2.890131148155559,0.4606110787208133,0.6087143221162707,-0.0070373360557960596,-0.02500366058973423,0.003526402475884755,-14.560085567915358,0.5727014290439878,nan,MODEL_NOT_IDENTIFIED
1.72,-0.23820219803751733,0.06268549208648543,0.0,-0.23820219803751733,0.0,3.119822788142402,0.4258282989888833,0.4621033540170603,-0.005618283784337193,-0.018981441706596464,-0.00019248399050867532,-11.053238163211663,-0.03126014605146571,nan,MODEL_NOT_IDENTIFIED
1.74,-0.1738462214882882,0.07079977925848253,0.0,-0.1738462214882882,0.0,3.3086940177131017,0.3845591369315253,0.3069476326413217,-0.004100371093142083,-0.012608236978396685,-0.003960095321151535,-7.342005327867138,-0.6431348279395922,nan,MODEL_NOT_IDENTIFIED
1.76,-0.10614840066441435,0.07802784452717483,0.0,-0.10614840066441435,0.0,3.4535166438378386,0.3372958742065432,0.14531706048492884,-0.0025036370071290304,-0.005969070097826634,-0.007723972508598436,-3.475897901962541,-1.2544030705006126,nan,MODEL_NOT_IDENTIFIED
1.78,-0.03601722401428446,0.08425549550512594,0.0,-0.03601722401428446,0.0,3.5516390194345324,0.28462213384450896,-0.02059851723323559,-0.0008495093131106339,0.0008461084532412843,-0.011430983597007689,0.49270431562279315,-1.8564360381871035,nan,MODEL_NOT_IDENTIFIED
1.8,0.03559193731654295,0.08938106870663998,0.0,0.03559193731654295,0.0,3.6010314131258365,0.22720591309728944,-0.18851853595629892,0.0008394784176054668,0.007743621788850485,-0.01502806367058269,4.50925157324875,-2.4406157830147834,nan,MODEL_NOT_IDENTIFIED
1.82,0.10768965418640171,0.09331703656211615,0.0,0.10768965418640171,0.0,3.600323235943691,0.16579133002485955,-0.3561026187652095,0.0025399893151323775,0.014627336159539369,-0.018462964132046122,8.517763443045496,-2.998456930290637,nan,MODEL_NOT_IDENTIFIED
1.84,0.17926592185390916,0.09599143730790441,0.0,0.17926592185390916,0.0,3.548831487355434,0.10118918242317891,-0.5209827543651591,0.004228201209450827,0.021399982701184296,-0.021685000832901185,12.46159849926453,-3.5217281778667955,nan,MODEL_NOT_IDENTIFIED
1.86,0.2493041190305734,0.09734910513658025,0.0,0.2493041190305734,0.0,3.446579897995936,0.034266435808802995,-0.6807963098711503,0.005880135871363088,0.0279645134742046,-0.024645790489045562,16.284243964530187,-4.002571892890309,nan,MODEL_NOT_IDENTIFIED
1.8800000000000001,0.3167952533243095,0.09735268049658595,0.0,0.3167952533243095,0.0,3.294308370461704,-0.034065226106650165,-0.8332194243747882,0.007471995008319076,0.034225473143806716,-0.027299964834356316,19.93011446415221,-4.433620093113112,nan,MODEL_NOT_IDENTIFIED
1.9000000000000001,0.3807522961379768,0.09598338325246768,0.0,0.3807522961379768,0.0,3.093472450831037,-0.10286163995212998,-0.9760003176244473,0.00898049837014612,0.04009036717340971,-0.029605852132924767,23.345348750000564,-4.808105127120243,nan,MODEL_NOT_IDENTIFIED
1.92,0.44022440610149904,0.09324153452207368,0.0,0.44022440610149904,0.0,2.846232700468846,-0.1711590285617233,-1.106992042906987,0.010383219225709969,0.04547100718799231,-0.03152611598738092,26.47859313001095,-5.119963419277503,nan,MODEL_NOT_IDENTIFIED
1.94,0.4943108389089629,0.08914681635518996,0.0,0.4943108389089629,0.0,2.555433978302346,-0.23798732140370477,-1.2241842145437642,0.011658912443062046,0.05028481421850958,-0.03302834184379703,29.281760371072473,-5.3639307204008615,nan,MODEL_NOT_IDENTIFIED
1.96,0.5421743430587493,0.08373826196532057,0.0,0.5421743430587493,0.0,2.2245747861828913,-0.3023837480094146,-1.3257332483789415,0.012787830443994798,0.05445606086570973,-0.034085562198492014,31.710753033572843,-5.535627403376988,nan,MODEL_NOT_IDENTIFIED
1.98,0.5830538454715124,0.07707397292539912,0.0,0.5830538454715124,0.0,1.857766972196141,-0.36340651647592775,-1.409990668223595,0.013752022409516567,0.05791703402079848,-0.03467671225210508,33.7261405447535,-5.631632463150742,nan,MODEL_NOT_IDENTIFIED
