time_s,delta_w_mps,delta_q_rads,delta_e_rad,delta_w_dot,delta_q_dot,perturbation_az_mps2,delta_alpha_rad,delta_CL,delta_Cm,delta_Lift_N,delta_PitchMom_Nm,total_thrust_N,propulsion_model_status
1.2,1.0947687823178125,0.22997487090711233,-0.05,7.17385422963012,0.14652998128011466,-2.576546755130939,0.025821431321662234,0.10583470475099085,0.005689548756892718,61.62947028092994,0.9240047685907962,nan,MODEL_NOT_IDENTIFIED
1.22,1.2358285694747413,0.23139324710473638,-0.05,6.913711281997953,-0.0018784598884634524,-2.8968255629095876,0.029148495141119543,0.11899053551235815,-7.293790001138001e-05,69.29034941161073,-0.011845397640694586,nan,MODEL_NOT_IDENTIFIED
1.24,1.3706434926636597,0.2300153478269466,-0.05,6.552498974369696,-0.1329824383079497,-3.1996181378858815,0.03232826637362374,0.13142809858378002,-0.0051635171174777145,76.53296822441759,-0.8385751916563766,nan,MODEL_NOT_IDENTIFIED
1.26,1.4973791284417695,0.2261927230577509,-0.05,6.108839656263244,-0.24630492001989107,-3.4812070342679005,0.03531747794789171,0.14299469548344845,-0.009563666351917507,83.26840762075548,-1.5531764805912793,nan,MODEL_NOT_IDENTIFIED
1.28,1.6145679884801236,0.22028245886144035,-0.05,5.600755027301009,-0.3417621731475181,-3.7387101731195043,0.0380815173962378,0.1535719414109837,-0.01327013441479434,89.4277299817792,-2.15512125882675,nan,MODEL_NOT_IDENTIFIED
1.3,1.7210947008912643,0.2126397496532568,-0.05,5.045393671087694,-0.4196195939927471,-3.9700383899912,0.040594077338459655,0.1630740214661717,-0.016293226263404056,94.9609637329013,-2.646083091365628,nan,MODEL_NOT_IDENTIFIED
1.32,1.8161762267103942,0.20361137069481305,-0.05,4.458806879749688,-0.48044604082363757,-4.173842859330374,0.042836688863881096,0.17144553104444357,-0.018655029847418153,99.8358457668666,-3.0296491468388402,nan,MODEL_NOT_IDENTIFIED
1.34,1.8993380650655158,0.1935300700670737,-0.05,3.855771408697726,-0.5250677165166895,-4.349454572383643,0.04479816030182585,0.17865898982014664,-0.02038762543810857,104.0363737910707,-3.3110293856315667,nan,MODEL_NOT_IDENTIFIED
1.36,1.9703873658215072,0.18270987966616756,-0.05,3.2496570679429597,-0.5545225286390532,-4.496817942981719,0.046473943051164764,0.18471211452564637,-0.02153131349587839,107.56121821731139,-3.4967687587021303,nan,MODEL_NOT_IDENTIFIED
1.3800000000000001,2.029383820322084,0.1714423273615676,-0.05,2.6523364481570306,-0.5700157384358334,-4.616420485773957,0.047865445003643696,0.18962493040165435,-0.022132892584126804,110.42204010686534,-3.5944675341195356,nan,MODEL_NOT_IDENTIFIED
