time_s,delta_w_mps,delta_q_rads,w_gust_mps,delta_w_aero_mps,delta_e_rad,delta_w_dot,delta_q_dot,perturbation_az_mps2,delta_alpha_rad,delta_CL,delta_Cm,delta_Lift_N,delta_PitchMom_Nm,total_thrust_N,propulsion_model_status
4.92,3.938629095077887e-05,-1.2413254351519677e-05,0.0,3.938629095077887e-05,0.0,-0.0006002229123324541,8.863358205122334e-06,-7.39297265781153e-05,9.28972786972751e-07,3.0367509415984526e-06,3.4415147137326694e-07,0.0017683552134072132,5.5891532747863874e-05,nan,MODEL_NOT_IDENTIFIED
4.94,2.7750840929395163e-05,-1.2126741774914913e-05,0.0,2.7750840929395163e-05,0.0,-0.0005621451359226828,1.9520407963045313e-05,-4.799941870720827e-05,6.545367795925429e-07,1.9716328830362766e-06,7.579494100109835e-07,0.0011481176279168558,0.00012309392170201154,nan,MODEL_NOT_IDENTIFIED
4.96,1.694210783492439e-05,-1.1643196436280863e-05,0.0,1.694210783492439e-05,0.0,-0.0005178190298005031,2.8566576916848655e-05,-2.4174513117926654e-05,3.9959987987371924e-07,9.929967128443207e-07,1.1091991602403463e-06,0.0005782400163281717,0.0001801382424462651,nan,MODEL_NOT_IDENTIFIED
4.98,7.069228187860491e-06,-1.0994730924687697e-05,0.0,7.069228187860491e-06,0.0,-0.000468813709975738,3.601745707656654e-05,-2.6626265447249224e-06,1.6673620320405483e-07,1.0937053389849783e-07,1.3985061374209442e-06,6.368844779570102e-05,0.00022712281678137554,nan,MODEL_NOT_IDENTIFIED
5.0,-1.78913897269811e-06,-1.0212854197553202e-05,0.0,-1.78913897269811e-06,0.0,-0.00041660460128786666,4.191713181713504e-05,1.6396722866650774e-05,-4.2198982885339715e-08,-6.735147809835171e-07,1.627582035698072e-06,-0.00039219988637991725,0.0002643256304703975,nan,MODEL_NOT_IDENTIFIED
5.0200000000000005,-9.582760018318444e-06,-9.327943244489196e-06,0.0,-9.582760018318444e-06,0.0,-0.00036255631069597696,4.633402317823629e-05,3.292684204203773e-05,-2.2602085817710884e-07,-1.352508973090411e-06,1.7990835846189291e-06,-0.0007875905333499422,0.00029217814668824345,nan,MODEL_NOT_IDENTIFIED
5.04,-1.6287473442477325e-05,-8.36879773219606e-06,0.0,-1.6287473442477325e-05,0.0,-0.00030790959863299933,4.9356760010729826e-05,4.690800960137487e-05,-3.84159544637285e-07,-1.9268019634155103e-06,1.9164521151918693e-06,-0.0011220117693996959,0.00031123925092792654,nan,MODEL_NOT_IDENTIFIED
5.0600000000000005,-2.1902615108799997e-05,-7.362276435142731e-06,0.0,-2.1902615108799997e-05,0.0,-0.0002537722190790009,5.1090143036651446e-05,5.837122128972135e-05,-5.165993778150125e-07,-2.397666938839798e-06,1.9837568889603057e-06,-0.001396204994367995,0.0003221698070349673,nan,MODEL_NOT_IDENTIFIED
5.08,-2.6448296718159532e-05,-6.3330128421681496e-06,0.0,-2.6448296718159532e-05,0.0,-0.00020111335220095535,5.1651272197556335e-05,6.73916997171804e-05,-6.238147162335187e-07,-2.7681937570245095e-06,2.00554472849998e-06,-0.0016119694884753819,0.00032570823661737675,nan,MODEL_NOT_IDENTIFIED
5.1000000000000005,-2.996260627493217e-05,-5.303206128721071e-06,0.0,-2.996260627493217e-05,0.0,-0.000150761317291601,5.116589097600072e-05,7.40823191279538e-05,-7.067039110378721e-07,-3.043018861024792e-06,1.98669807267163e-06,-0.0017720051366995559,0.00032264746666856703,nan,MODEL_NOT_IDENTIFIED
5.12,-3.249879281122136e-05,-4.292482696100476e-06,0.0,-3.249879281122136e-05,0.0,-0.00010340422775964036,4.976499189001273e-05,7.858707999516487e-05,-7.665229043481002e-07,-3.2280572405557205e-06,1.932303172845783e-06,-0.0018797563449536332,0.0003138135241234379,nan,MODEL_NOT_IDENTIFIED
5.14,-3.412249068249056e-05,-3.317822696868363e-06,0.0,-3.412249068249056e-05,0.0,-5.9593233391923636e-05,4.758171725582226e-05,8.107475160663822e-05,-8.0481976095132e-07,-3.3302412936855174e-06,1.8475297539700411e-06,-0.0019392599745084633,0.000300045992349317,nan,MODEL_NOT_IDENTIFIED
5.16,-3.490903156004686e-05,-2.3935453804507074e-06,0.0,-3.490903156004686e-05,0.0,-1.9747987239999724e-05,4.474857973759926e-05,8.173278386582763e-05,-8.233712684290004e-07,-3.3572707468593255e-06,1.7375230925066962e-06,-0.00195499971588162,0.0002821804841847649,nan,MODEL_NOT_IDENTIFIED
5.18,-3.494088497997619e-05,-1.5313466930098954e-06,0.0,-3.494088497997619e-05,0.0,1.5836025580092463e-05,4.139501827496991e-05,8.076157263938424e-05,-8.241225694419173e-07,-3.3173770972693103e-06,1.6073091166078572e-06,-0.0019317689193523496,0.00026103322984022094,nan,MODEL_NOT_IDENTIFIED
5.2,-3.4305261111532865e-05,-7.403823370081282e-07,0.0,-3.4305261111532865e-05,0.0,4.6978653051625e-05,3.764529679378057e-05,7.836914645374778e-05,-8.091306201549912e-07,-3.2191053626341253e-06,1.461712816071852e-06,-0.0018745435038952534,0.00023738782635871172,nan,MODEL_NOT_IDENTIFIED
5.22,-3.309190240928817e-05,-2.7389422901118545e-08,0.0,-3.309190240928817e-05,0.0,7.36050784617713e-05,3.361674573203836e-05,7.476632644931759e-05,-7.805121037115278e-07,-3.0711152705931e-06,1.30528996332066e-06,-0.0017883661861545991,0.00021198414883796335,nan,MODEL_NOT_IDENTIFIED
5.24,-3.139108412247074e-05,6.031600886239709e-07,0.0,-3.139108412247074e-05,0.0,9.573498489648285e-05,2.9418339896793598e-05,7.016239647023209e-05,-7.403962698541698e-07,-2.8820034025237827e-06,1.1422718936248463e-06,-0.0016782429115598354,0.00018550938252492042,nan,MODEL_NOT_IDENTIFIED
5.26,-2.9291837343173692e-05,1.1488807679450634e-06,0.0,-2.9291837343173692e-05,0.0,0.00011347118534312488,2.5149600532965745e-05,6.476130618563582e-05,-6.908830233912254e-07,-2.6601472322581506e-06,9.765228740126954e-07,-0.001549052035238156,0.00015859109936136782,nan,MODEL_NOT_IDENTIFIED
5.28,-2.6880402455542796e-05,1.6092762440784422e-06,0.0,-2.6880402455542796e-05,0.0,0.00012698799657621132,2.0899804736235495e-05,5.875841734817162e-05,-6.340064469457478e-07,-2.413571474802604e-06,8.115094059080906e-07,-0.001405466494447368,0.00013179227261335142,nan,MODEL_NOT_IDENTIFIED
5.3,-2.4238915556306168e-05,1.985528823721508e-06,0.0,-2.4238915556306168e-05,0.0,0.0001365196075004949,1.6747481466263428e-05,5.2337791801574005e-05,-5.717038186123903e-07,-2.1498366880429148e-06,6.502806560475154e-07,-0.001251888939325956,0.00010560809877625686,nan,MODEL_NOT_IDENTIFIED
5.32,-2.1444325692170485e-05,2.280281700399203e-06,0.0,-2.1444325692170485e-05,0.0,0.00014234866356255328,1.2760170385696463e-05,4.567000971917201e-05,-5.05790073706167e-07,-1.8759496543107823e-06,4.954590925449816e-07,-0.0010923995464520323,8.046447683546304e-05,nan,MODEL_NOT_IDENTIFIED
